"sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","sp1_name","sp2_name","effects","quality","sp1_start_flowering","sp1_end_flowering","sp1_flowering_length","sp2_start_flowering","sp2_end_flowering","sp2_flowering_length","flowering_overlap","flowering_synchrony_sp1","flowering_synchrony_sp2"
6,14,11,18,8,0.086,4.1,0.999,0.00886,"Alyssum turkestanicum","Asclepias viridiflora",0.08125,"positive",4,6,3,6,7,2,1,0.333333333333333,0.5
6,62,11,14,6,0.067,3.2,0.99211,0.04487,"Alyssum turkestanicum","Opuntia polyacantha",0.0583333333333333,"positive",4,6,3,5,8,4,2,0.666666666666667,0.5
11,66,8,6,3,0.021,1,0.99537,0.04972,"Artemisia frigida","Paronychia sessiliflora",0.0416666666666667,"positive",8,9,2,6,8,3,1,0.5,0.333333333333333
11,69,8,11,5,0.038,1.8,0.99915,0.01036,"Artemisia frigida","Penstemon nitidus",0.0666666666666667,"positive",8,9,2,4,7,4,0,0,0
11,73,8,10,4,0.035,1.7,0.99396,0.04712,"Artemisia frigida","Rhus aromatica",0.0479166666666667,"positive",8,9,2,5,5,1,0,0,0
14,31,18,6,5,0.047,2.2,0.99849,0.02246,"Asclepias viridiflora","Dalea candida",0.0583333333333333,"positive",6,7,2,6,8,3,2,1,0.666666666666667
14,62,18,14,9,0.109,5.2,0.99723,0.01714,"Asclepias viridiflora","Opuntia polyacantha",0.0791666666666667,"positive",6,7,2,5,8,4,2,1,0.5
28,35,8,13,5,0.045,2.2,0.99713,0.02519,"Comandra umbellata","Eriogonum flavum",0.0583333333333333,"positive",5,7,3,5,9,5,3,1,0.6
28,66,8,6,4,0.021,1,0.99982,0.00463,"Comandra umbellata","Paronychia sessiliflora",0.0625,"positive",5,7,3,6,8,3,2,0.666666666666667,0.666666666666667
28,81,8,6,3,0.021,1,0.99537,0.04972,"Comandra umbellata","Thermopsis rhombifolia",0.0416666666666667,"positive",5,7,3,4,7,4,3,1,0.75
35,66,13,6,4,0.034,1.6,0.99619,0.03848,"Eriogonum flavum","Paronychia sessiliflora",0.05,"positive",5,9,5,6,8,3,3,0.6,1
69,81,11,6,4,0.029,1.4,0.99857,0.01934,"Penstemon nitidus","Thermopsis rhombifolia",0.0541666666666667,"positive",4,7,4,4,7,4,4,1,1
