"species","data"
"Achillea millefolium","over limit"
"Chamaenerion angustifolium","over limit"
"Cirsium arvense","over limit"
"Cirsium vulgare","over limit"
"Helianthus annuus","over limit"
"Heterotheca villosa","over limit"
"Leucanthemum vulgare","over limit"
"Lotus corniculatus","over limit"
"Medicago sativa","over limit"
"Melilotus albus","over limit"
"Melilotus officinalis","over limit"
"Monarda fistulosa","over limit"
"Rubus idaeus","over limit"
"Symphyotrichum ericoides","over limit"
"Tanacetum vulgare","over limit"
"Taraxacum officinale","over limit"
"Trifolium pratense","over limit"
"Vicia cracca","over limit"
"Agropyron cristatum","no data"
"Anemone multifida","no data"
"Artemisia longifolia","no data"
"Bouteloua gracilis","no data"
"Carex aurea","no data"
"Carex filifolia","no data"
"Euphorbia virgata","no data"
"Hesperostipa comata","no data"
"Juncus balticus","no data"
"Paronychia sessiliflora","no data"
"Plantago patagonica","no data"
"Populus balsamifera","no data"
"Sporobolus rigidus","no data"
